Catalyst,Hydrothermal synthesis time (min),Energy Band gap (Eg) eV,C (At%),O (At%),Fe (At%),Al (At%),Ni (At%),Mo (At%),S (At%),Bi,Ag,Pd,Pt,Surface area (m2/g),Pore volume (cm3/g),Pore size (nm),volume (L),loading (g),Catalyst_loading_mg,Light intensity (watt),Light source distance (cm),Time (m),Dye,Dye concentration (mg/L),Solution pH,Ci,HA (mg/L),Anions,log_Kw,hydrogen_bonding_acceptor_count,hydrogen_bonding_donor_count,solubility (g/L),molecular_wt (g/mol),Cf,Efficiency
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,5,19.03448276,0,0,3.0606,9,2,10,466.36,7.276931954,61.76974155
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,5,19.03448276,0,0,3.0606,9,2,10,466.36,7.476896552,60.7192029
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,5,19.03448276,0,0,3.0606,9,2,10,466.36,7.026357241,63.08616667
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,7,19.03448276,0,0,3.0606,9,2,10,466.36,4.978081379,73.84703623
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,7,19.03448276,0,0,3.0606,9,2,10,466.36,5.412999195,71.56214191
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,7,19.03448276,0,0,3.0606,9,2,10,466.36,5.18727694,72.74800159
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,9,19.03448276,0,0,3.0606,9,2,10,466.36,2.658728276,86.03204348
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,9,19.03448276,0,0,3.0606,9,2,10,466.36,2.578266667,86.45475845
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,9,19.03448276,0,0,3.0606,9,2,10,466.36,2.755510345,85.52358696
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.888609195,95.33158213
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.906790805,95.2360628
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.739187126,96.11658937
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,30,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.44788177,39.85714286
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,30,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.25908046,40.84903382
